	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_016248	11215.0	AKAP11	A kinase (PRKA) anchor protein 11	0.44648609	4.3199052	-2.239711432
NM_020299	57016.0	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	3.42925425	4.3199052	
NM_005163	207.0	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	
NM_001014432	207.0	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	
NM_001014431	207.0	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	
NM_000692	219.0	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	2.50553112	1.5613079	
NM_184043	226.0	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	
NM_184041	226.0	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	
NM_000034	226.0	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	
NM_005165	230.0	ALDOC	aldolase C, fructose-bisphosphate	3.8298026	1.4706181	
NM_013339	29929.0	ALG6	asparagine-linked glycosylation 6 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	0.34607011	1.7079054	-2.8895878930000003
NM_017621	54784.0	ALKBH4	alkB, alkylation repair homolog 4 (E. coli)	2.3540712999999998	2.3206861	
NM_017758	54890.0	ALKBH5	alkB, alkylation repair homolog 5 (E. coli)	2.08655488	2.3206861	
NM_025144	80216.0	ALPK1	alpha-kinase 1	0.23132374	1.7079054	-4.322945842
NM_013367	29945.0	ANAPC4	anaphase promoting complex subunit 4	0.38889158	3.753678	-2.571410777
NM_139314	51129.0	ANGPTL4	angiopoietin-like 4	0.26675848	1.7079054	-3.7487093189999996
NM_017747	54882.0	ANKHD1	ankyrin repeat and KH domain containing 1	0.47434497	3.9508566	-2.1081703469999997
NM_020319	57037.0	ANKMY2	ankyrin repeat and MYND domain containing 2	0.13477295	1.7079054	-7.419886557000001
NM_015208	23253.0	ANKRD12	ankyrin repeat domain 12	0.28330187	1.7079054	-3.5298037389999997
NM_152345	124930.0	ANKRD13B	ankyrin repeat domain 13B	2.23198944	2.6012277000000004	
NM_018153	84168.0	ANTXR1	anthrax toxin receptor 1	1.89764439	1.4706181	
NM_058172	118429.0	ANTXR2	anthrax toxin receptor 2	0.40159958	4.3199052	-2.490042445
NM_001155	309.0	ANXA6	annexin A6	2.91505218	0.637618	
NM_004033	309.0	ANXA6	annexin A6	2.91505218	0.637618	
NM_080550	11276.0	AP1GBP1	AP1 gamma subunit binding protein 1	0.37764337	1.7079054	-2.648000943
NM_007247	11276.0	AP1GBP1	AP1 gamma subunit binding protein 1	0.37764337	1.7079054	-2.648000943
NM_032493	8907.0	AP1M1	adaptor-related protein complex 1, mu 1 subunit	2.22749326	2.0161834	
NM_001025205	1173.0	AP2M1	adaptor-related protein complex 2, mu 1 subunit	2.72546693	1.4567723	
NM_004068	1173.0	AP2M1	adaptor-related protein complex 2, mu 1 subunit	2.72546693	1.4567723	
NM_004069	1175.0	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2.52576903	2.4738185	
NM_021575	1175.0	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2.60908906	2.1038158	
NM_153000	147495.0	APCDD1	adenomatosis polyposis coli down-regulated 1	2.59318444	0.637618	
NM_005166	333.0	APLP1	amyloid beta (A4) precursor-like protein 1	0.31662638	1.7079054	-3.1582965389999997
NM_001024807	333.0	APLP1	amyloid beta (A4) precursor-like protein 1	0.31662638	1.7079054	-3.1582965389999997
NM_012096	26060.0	APPL	adaptor protein containing pH domain, PTB domain and leucine zipper motif 1	0.4469102	3.797649	-2.237585985
NM_000485	353.0	APRT	adenine phosphoribosyltransferase	2.7759215	0.637618	
NM_001654	369.0	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	1.97129742	3.753678	
NM_001657	374.0	AREG	amphiregulin (schwannoma-derived growth factor)	0.46357093	3.3991674	-2.157167189
NM_001659	377.0	ARF3	ADP-ribosylation factor 3	2.56173852	2.5903232000000003	
NM_018209	55738.0	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	1.98845849	3.797649	
NM_175609	55738.0	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	1.98845849	3.797649	
NM_012402	23647.0	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	3.04190565	0.637618	
NM_003224	10139.0	ARFRP1	ADP-ribosylation factor related protein 1	2.78341483	0.637618	
NM_018287	94134.0	ARHGAP12	Rho GTPase activating protein 12	0.28952191	1.7079054	-3.4539700289999997
NM_001175	397.0	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	6.38301971	0.0	
NM_152641	196528.0	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	0.31249240000000006	1.7079054	-3.2000778260000002
NM_005744	25820.0	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	2.0957107	3.3991674	
NM_025047	80117.0	ARL14	ADP-ribosylation factor-like 14	4.17367365	0.0	
NM_001667	402.0	ARL2	ADP-ribosylation factor-like 2	2.37709807	2.9727196	
NM_001002252	51329.0	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.38226517	1.4567723	
NM_016638	51329.0	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	
NM_001002251	51329.0	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	
NM_018694	51329.0	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	
NM_033415	93436.0	ARMC6	armadillo repeat containing 6	2.53412636	2.6012277000000004	
NM_020183	56938.0	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	3.35756438	1.3001076	
NM_006409	10552.0	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	1.8656446	2.6012277000000004	
NM_005717	10092.0	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa	1.8238032	3.797649	
NM_015683	27106.0	ARRDC2	arrestin domain containing 2	2.42062887	2.9727196	
NM_003976	9048.0	ARTN	artemin	4.04740667	1.219488	
NM_057090	9048.0	ARTN	artemin	4.04740667	1.219488	
NM_057091	9048.0	ARTN	artemin	4.04740667	1.219488	
NM_057160	9048.0	ARTN	artemin	4.04740667	1.219488	
NM_177924	427.0	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0.44979772	4.9341886	-2.223221585
NM_004315	427.0	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0.44979772	4.9341886	-2.223221585
NM_024769	79827.0	ASAM	adipocyte-specific adhesion molecule	0.37256209	3.2351467	-2.6841163580000003
NM_024087	140462.0	ASB9	ankyrin repeat and SOCS box-containing 9	2.5271365	0.637618	
NM_001024944	435.0	ASL	argininosuccinate lyase	2.61516238	0.637618	
NM_000048	435.0	ASL	argininosuccinate lyase	2.45948315	0.637618	
NM_001024946	435.0	ASL	argininosuccinate lyase	2.45948315	0.637618	
NM_001024943	435.0	ASL	argininosuccinate lyase	2.45948315	0.637618	
NM_032810	84896.0	ATAD1	ATPase family, AAA domain containing 1	0.43732909	4.9341886	-2.286607552
NM_014109	29028.0	ATAD2	ATPase family, AAA domain containing 2	0.39809493	1.9393426	-2.511963667
NM_005171	466.0	ATF1	activating transcription factor 1	2.00872572	3.797649	
NM_006856	11016.0	ATF7	activating transcription factor 7	0.53873688	3.9508566	-1.856193695
NM_018179	55729.0	ATF7IP	activating transcription factor 7 interacting protein	0.35011246	1.7079054	-2.856225111
NM_004707	9140.0	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	1.99141124	3.9508566	
NM_178326	23192.0	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	1.94475725	2.3206861	
NM_013325	23192.0	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	1.95413471	2.0161834	
NM_032885	84971.0	ATG4D	ATG4 autophagy related 4 homolog D (S. cerevisiae)	2.11685132	1.4706181	
NM_020453	57205.0	ATP10D	ATPase, Class V, type 10D	0.28104025	1.7079054	-3.558209189
NM_001681	488.0	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0.35748195	1.7079054	-2.797344034
NM_001001323	490.0	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0.24117634	1.7079054	-4.146343709
NM_001682	490.0	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0.24117634	1.7079054	-4.146343709
NM_001684	493.0	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	0.33506239	1.7079054	-2.984518794
NM_001001396	493.0	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	0.33506239	1.7079054	-2.984518794
NM_014382	27032.0	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.41994097	4.6110465	-2.381287065
NM_001001975	513.0	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	2.43045778	0.637618	
NM_001687	513.0	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	2.37516534	0.637618	
NM_005175	516.0	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	2.61154212	2.1038158	
NM_001002027	516.0	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	2.61154212	2.1038158	
NM_001002258	518.0	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	1.83980594	3.797649	
NM_001689	518.0	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	1.83980594	3.797649	
NM_001003714	9551.0	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	1.99406413	2.9727196	
NM_004889	9551.0	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	2.43837418	1.219488	
NM_001003713	9551.0	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	2.43837418	1.219488	
NM_005765	10159.0	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	0.46219258	3.2351467	-2.16360029
NM_006045	10079.0	ATP9A	ATPase, Class II, type 9A	0.50237583	4.9341886	-1.9905416230000001
NM_001184	545.0	ATR	ataxia telangiectasia and Rad3 related	0.32373320000000005	1.7079054	-3.088963381
NM_017900	54998.0	AURKAIP1	aurora kinase A interacting protein 1	1.90449628	4.3199052	
NM_020371	57099.0	AVEN	apoptosis, caspase activation inhibitor	2.00555851	3.797649	
NM_032193	84153.0	AYP1	AYP1 protein	2.19143435	2.3206861	
NM_003782	8705.0	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	1.72875714	3.2351467	
NM_030765	79369.0	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	0.44959531	4.9341886	-2.22422249
NM_004776	9334.0	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	0.42218562	3.3991674	-2.368626388
NM_001188	578.0	BAK1	BCL2-antagonist/killer 1	3.44431363	0.637618	
NM_012342	25805.0	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	2.31234704	0.8369687	
NM_003860	8815.0	BANF1	barrier to autointegration factor 1	3.04157967	2.9727196	
NM_005581	4059.0	BCAM	basal cell adhesion molecule (Lutheran blood group)	0.47745892	3.2351467	-2.094421024
NM_001008405	55973.0	BCAP29	B-cell receptor-associated protein 29	0.39756258	3.6724242999999994	-2.515327273
NM_018844	55973.0	BCAP29	B-cell receptor-associated protein 29	0.40464852	3.753678	-2.471280508
NM_017843	55653.0	BCAS4	breast carcinoma amplified sequence 4	1.72037015	4.3199052	
NM_198799	55653.0	BCAS4	breast carcinoma amplified sequence 4	1.72037015	4.3199052	
NM_019606	56257.0	BCDIN3	bin3, bicoid-interacting 3, homolog (Drosophila)	1.83206819	4.3199052	
NM_005881	10295.0	BCKDK	branched chain ketoacid dehydrogenase kinase	2.65810178	0.637618	
NM_001706	604.0	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	0.40094077	1.7079054	-2.494133984
NM_138931	604.0	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	0.40094077	1.7079054	-2.494133984
NM_138707	9275.0	BCL7B	B-cell CLL/lymphoma 7B	2.01429541	2.4738185	
NM_001707	9275.0	BCL7B	B-cell CLL/lymphoma 7B	2.07387934	2.9727196	
NM_004765	9274.0	BCL7C	B-cell CLL/lymphoma 7C	1.98377787	3.9508566	
NM_014739	9774.0	BCLAF1	BCL2-associated transcription factor 1	0.43738402	3.6724242999999994	-2.286320383
NM_016526	51272.0	BET1L	blocked early in transport 1 homolog (S. cerevisiae)-like	1.97506459	2.9727196	
NM_018476	55859.0	BEX1	brain expressed, X-linked 1	0.35447409	1.7079054	-2.8210806610000003
NM_032621	84707.0	BEX2	brain expressed X-linked 2	2.7013936000000003	1.9393426	
NM_001197	638.0	BIK	BCL2-interacting killer (apoptosis-inducing)	6.22251035	0.0	
NM_016252	57448.0	BIRC6	baculoviral IAP repeat-containing 6 (apollon)	0.26175551	1.7079054	-3.82035893
NM_001001342	282991.0	BLOC1S2	biogenesis of lysosome-related organelles complex-1, subunit 2	2.211913	1.5613079	
NM_173809	282991.0	BLOC1S2	biogenesis of lysosome-related organelles complex-1, subunit 2	2.211913	1.5613079	
NM_000713	645.0	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	2.07267677	2.6012277000000004	
NM_001200	650.0	BMP2	bone morphogenetic protein 2	3.26999874	0.0	
NM_016074	51027.0	BOLA1	bolA-like 1 (E. coli)	1.84165114	3.797649	
NM_001724	669.0	BPGM	2,3-bisphosphoglycerate mutase	4.57776588	1.0218237	
NM_199186	669.0	BPGM	2,3-bisphosphoglycerate mutase	4.57776588	1.0218237	
NM_015379	25798.0	BRI3	brain protein I3	2.17368326	2.0161834	
NM_001024957	25855.0	BRMS1	breast cancer metastasis suppressor 1	3.83842189	0.637618	
NM_015399	25855.0	BRMS1	breast cancer metastasis suppressor 1	3.83842189	0.637618	
NM_015415	25874.0	BRP44	brain protein 44	2.43381207	1.0218237	
NM_033656	54014.0	BRWD1	bromodomain and WD repeat domain containing 1	0.54551635	4.9341886	-1.833125625
NM_003972	9044.0	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	0.41323925	3.753678	-2.41990566
NM_033271	90135.0	BTBD6	BTB (POZ) domain containing 6	2.04330251	3.6724242999999994	
NM_003910	8896.0	BUD31	BUD31 homolog (yeast)	2.21222598	1.219488	
NM_007021	11067.0	C10orf10	chromosome 10 open reading frame 10	3.09435693	2.6012277000000004	
NM_018464	55847.0	C10orf70	chromosome 10 open reading frame 70	2.18605731	2.4738185	
NM_013265	738.0	C11orf2	chromosome 11 open reading frame2	1.92560469	4.3199052	
NM_022338	53838.0	C11orf24	chromosome 11 open reading frame 24	1.95146528	3.6724242999999994	
NM_001007139	492304.0	C11orf43	chromosome 11 open reading frame 43	13.81702817	0.0	
NM_014042	25906.0	C11orf51	chromosome 11 open reading frame 51	3.18464809	0.637618	
NM_017907	55004.0	C11orf59	chromosome 11 open reading frame 59	2.79809932	1.4706181	
NM_021934	60673.0	C12orf44	chromosome 12 open reading frame 44	2.65944099	0.637618	
NM_152319	121273.0	C12orf54	chromosome 12 open reading frame 54	2.63312027	0.637618	
NM_138425	113246.0	C12orf57	chromosome 12 open reading frame 57	3.00831514	0.637618	
NM_024685	79738.0	C12orf58	chromosome 12 open reading frame 58	0.39619168	2.9727196	-2.524030792
NM_032901	84987.0	C12orf62	chromosome 12 open reading frame 62	2.93912551	1.4567723	
NM_018036	55102.0	C14orf103	chromosome 14 open reading frame 103	0.20564433	1.7079054	-4.862764755
NM_016049	51016.0	C14orf122	chromosome 14 open reading frame 122	2.63695226	2.3206861	
NM_031210	81892.0	C14orf156	chromosome 14 open reading frame 156	2.5686838	1.219488	
NM_004894	9556.0	C14orf2	chromosome 14 open reading frame 2	2.25793496	2.0161834	
NM_024571	79622.0	C16orf33	chromosome 16 open reading frame 33	2.82365689	1.4706181	
NM_013399	29965.0	C16orf5	chromosome 16 open reading frame 5	2.90328664	1.4706181	
NM_024598	79650.0	C16orf57	chromosome 16 open reading frame 57	2.5834808999999996	1.5613079	
NM_024109	79091.0	C16orf68	chromosome 16 open reading frame 68	2.92162262	1.0218237	
NM_025187	80262.0	C16orf70	chromosome 16 open reading frame 70	2.48609697	1.4567723	
NM_032339	84299.0	C17orf37	chromosome 17 open reading frame 37	2.18700991	2.9727196	
NM_152350	125144.0	C17orf45	chromosome 17 open reading frame 45	3.09682508	2.3206861	
NM_152766	254863.0	C17orf61	chromosome 17 open reading frame 61	2.2737861	3.2351467	
NM_015362	23587.0	C17orf81	chromosome 17 open reading frame 81	2.01917069	2.1038158	
NM_203415	23587.0	C17orf81	chromosome 17 open reading frame 81	2.01917069	2.1038158	
NM_203413	23587.0	C17orf81	chromosome 17 open reading frame 81	2.01917069	2.1038158	
NM_203414	23587.0	C17orf81	chromosome 17 open reading frame 81	2.01917069	2.1038158	
NM_194281	125476.0	C18orf37	chromosome 18 open reading frame 37	2.27453948	4.9341886	
NM_017914	55009.0	C19orf24	chromosome 19 open reading frame 24	2.97525223	2.3206861	
NM_033520	64073.0	C19orf33	chromosome 19 open reading frame 33	2.38355452	2.6012277000000004	
NM_024104	79086.0	C19orf42	chromosome 19 open reading frame 42	2.06976626	2.0161834	
NM_024038	79002.0	C19orf43	chromosome 19 open reading frame 43	2.19804178	1.5613079	
NM_001011551	29071.0	C1GALT1C1	C1GALT1-specific chaperone 1	0.39952081	3.2351467	-2.50299853
NM_152692	29071.0	C1GALT1C1	C1GALT1-specific chaperone 1	0.39952081	3.2351467	-2.50299853
NM_198446	127687.0	C1orf122	chromosome 1 open reading frame 122	2.44446647	2.1038158	
NM_053052	116841.0	C1orf142	chromosome 1 open reading frame 142	2.05117689	2.5903232000000003	
NM_015609	26099.0	C1orf144	chromosome 1 open reading frame 144	2.2723609000000002	0.637618	
NM_032125	84065.0	C1orf160	chromosome 1 open reading frame 160	2.0123829	2.9727196	
NM_022083	116496.0	C1orf24	chromosome 1 open reading frame 24	0.25269962	3.3991674	-3.9572675260000003
NM_052966	116496.0	C1orf24	chromosome 1 open reading frame 24	0.33266446	3.753678	-3.006031964
NM_016183	51154.0	C1orf33	chromosome 1 open reading frame 33	1.86099941	3.9508566	
NM_032324	84284.0	C1orf57	chromosome 1 open reading frame 57	2.83282273	0.8855806	
NM_022831	64853.0	C1orf80	chromosome 1 open reading frame 80	3.31741751	0.8369687	
NM_006688	10882.0	C1QL1	complement component 1, q subcomponent-like 1	0.20875447	0.0	-4.790316586
NM_024299	79144.0	C20orf149	chromosome 20 open reading frame 149	3.91979412	0.637618	
NM_001009924	29058.0	C20orf30	chromosome 20 open reading frame 30	1.95571167	2.1038158	
NM_014145	29058.0	C20orf30	chromosome 20 open reading frame 30	1.95571167	2.1038158	
NM_001009923	29058.0	C20orf30	chromosome 20 open reading frame 30	1.95571167	2.1038158	
NM_001009925	29058.0	C20orf30	chromosome 20 open reading frame 30	1.95571167	2.1038158	
NM_024120	79133.0	C20orf7	chromosome 20 open reading frame 7	2.70444156	0.637618	
NM_021215	58490.0	C20orf77	chromosome 20 open reading frame 77	0.39961287	2.6012277000000004	-2.502421906
NM_032261	84221.0	C21orf56	chromosome 21 open reading frame 56	2.25540942	2.4738185	
NM_001006114	54059.0	C21orf57	chromosome 21 open reading frame 57	2.08704307	4.3199052	
NM_058181	54059.0	C21orf57	chromosome 21 open reading frame 57	2.21884166	3.9508566	
NM_058187	59271.0	C21orf63	chromosome 21 open reading frame 63	0.41274393	2.4912595	-2.422809707
NM_058190	85395.0	C21orf70	chromosome 21 open reading frame 70	3.28392427	0.637618	
NM_031444	83606.0	C22orf13	chromosome 22 open reading frame 13	1.81040957	4.6110465	
NM_015264	23313.0	C22orf9	chromosome 22 open reading frame 9	1.94362251	3.797649	
NM_001009880	23313.0	C22orf9	chromosome 22 open reading frame 9	1.94362251	3.797649	
NM_018462	55845.0	C3orf10	chromosome 3 open reading frame 10	2.21947992	1.4567723	
NM_173654	285203.0	C3orf64	chromosome 3 open reading frame 64	0.32226273	2.6012277000000004	-3.1030581789999996
NM_003704	8603.0	C4orf8	chromosome 4 open reading frame 8	0.49544267	3.2351467	-2.018397002
NM_004772	9315.0	C5orf13	chromosome 5 open reading frame 13	2.0800084	1.219488	
NM_020199	56951.0	C5orf15	chromosome 5 open reading frame 15	0.32566646	3.3991674	-3.0706263089999997
NM_032744	84830.0	C6orf105	chromosome 6 open reading frame 105	2.28090295	2.4738185	
NM_006443	10591.0	C6orf108	chromosome 6 open reading frame 108	2.38259824	1.0218237	
NM_199184	10591.0	C6orf108	chromosome 6 open reading frame 108	2.52593762	0.637618	
NM_032870	25957.0	C6orf111	chromosome 6 open reading frame 111	0.3741866	3.2351467	-2.672463418
NM_032340	84300.0	C6orf125	chromosome 6 open reading frame 125	2.64973694	0.637618	
NM_020408	57128.0	C6orf149	chromosome 6 open reading frame 149	2.42739891	1.4706181	
NM_052831	116843.0	C6orf192	chromosome 6 open reading frame 192	0.3493418	3.2351467	-2.862526042
NM_018452	55836.0	C6orf35	chromosome 6 open reading frame 35	1.91705263	3.9508566	
NM_145267	135154.0	C6orf57	chromosome 6 open reading frame 57	2.3335372000000003	3.2351467	
NM_032831	80228.0	C7orf19	chromosome 7 open reading frame 19	0.39625337	1.7079054	-2.523637843
NM_138811	136895.0	C7orf31	chromosome 7 open reading frame 31	0.32080016	2.3206861	-3.117205428
NM_020192	57002.0	C7orf36	chromosome 7 open reading frame 36	0.44223278	3.753678	-2.261252547
NM_023080	65265.0	C8orf33	chromosome 8 open reading frame 33	2.29307035	0.637618	
NM_033428	90871.0	C9orf123	chromosome 9 open reading frame 123	2.12194831	2.3697766	
NM_203403	286343.0	C9orf150	chromosome 9 open reading frame 150	2.18579235	3.753678	
NM_024112	79095.0	C9orf16	chromosome 9 open reading frame 16	3.98353627	1.0218237	
NM_022343	152007.0	C9orf19	chromosome 9 open reading frame 19	2.99342247	0.637618	
NM_014064	28989.0	C9orf32	chromosome 9 open reading frame 32	2.9605502	0.637618	
NM_030914	81605.0	C9orf74	chromosome 9 open reading frame 74	2.2078193	1.5613079	
NM_024718	55684.0	C9orf86	chromosome 9 open reading frame 86	1.83025185	4.9341886	
NM_017881	54981.0	C9orf95	chromosome 9 open reading frame 95	1.98908437	3.9508566	
NM_206925	771.0	CA12	carbonic anhydrase XII	0.2436241	1.7079054	-4.104684225
NM_001218	771.0	CA12	carbonic anhydrase XII	0.2436241	1.7079054	-4.104684225
NM_005184	808.0	CALM3	calmodulin 3 (phosphorylase kinase, delta)	3.59767089	0.8855806	
NM_005185	810.0	CALML3	calmodulin-like 3	6.25010894	0.0	
NM_018448	55832.0	CAND1	cullin-associated and neddylation-dissociated 1	0.49021047	3.3991674	-2.03994011
NM_004058	828.0	CAPS	calcyphosine	3.58360241	0.0	
NM_004930	832.0	CAPZB	capping protein (actin filament) muscle Z-line, beta	2.4711339	3.753678	
NM_022162	64127.0	CARD15	caspase recruitment domain family, member 15	0.13553155	1.7079054	-7.378355815
NM_033294	834.0	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0.3473108	2.4912595	-2.879265488
NM_033293	834.0	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0.36934985	3.6724242999999994	-2.7074601489999996
NM_033292	834.0	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0.36934985	3.6724242999999994	-2.7074601489999996
NM_001223	834.0	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0.36934985	3.6724242999999994	-2.7074601489999996
NM_033295	834.0	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	0.37775797	2.1038158	-2.6471976219999998
NM_012115	9994.0	CASP8AP2	CASP8 associated protein 2	0.27574715	1.7079054	-3.626510736
NM_018237	55749.0	CCAR1	cell division cycle and apoptosis regulator 1	0.40326943	2.3206861	-2.479731727
NM_052849	90416.0	CCDC32	coiled-coil domain containing 32	2.046964	2.9727196	
NM_145036	201134.0	CCDC46	coiled-coil domain containing 46	0.32994769	2.3697766	-3.030783455
